"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_sp_CAG_309",-16.6046747478099,17.9157713694104,-0.926818857275716,0.354020592446678,"location"
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94",2.61008272333546,2.9112134874051,0.896561772136454,0.369952804395775,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor.s__Flavonifractor_plautii",-0.202875085603209,0.235621322904965,-0.861021757716878,0.389226059845644,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis",-0.332264027366904,0.391401612596215,-0.848908171744506,0.395932391393711,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_ventriosum",4.752692858195,5.7058991816808,0.832943714367379,0.404876474014905,"location"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella",2.89126564184162,3.51233053826791,0.823175840183719,0.410408005711561,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_P335_sensu_lato",12.6296564639546,15.4595987755055,0.816945940664724,0.413959322247148,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor",-0.189037834386443,0.234266875556658,-0.806933690208043,0.419704687466817,"location"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_spiroforme",14.1595346973918,17.7174386756643,0.799186324648642,0.424182380336311,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus",-3.42909379673853,4.36972867906736,-0.784738378189286,0.432606976253949,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__Lactococcus_lactis",-3.42909379673853,4.36972867906736,-0.784738378189286,0.432606976253949,"location"
"k__Viruses",-0.114796195089425,0.152827318875145,-0.751149702385407,0.452562566508339,"location"
"k__Viruses.p__Viruses_unclassified",-0.114796195089425,0.152827318875145,-0.751149702385407,0.452562566508339,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified",-0.114796195089425,0.152827318875145,-0.751149702385407,0.452562566508339,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_producta",-6.35669582543755,8.55869752421643,-0.742717663225225,0.457652633594375,"location"
